,pmid,author,year,title,journal,citedByNof1000
342,23177963,Britt,2013,Synaptic and behavioral profile of multiple glutamatergic inputs to the nucleus accumbens.,Neuron,54.0
79,20947769,Lobo,2010,Cell type-specific loss of BDNF signaling mimics optogenetic control of cocaine reward.,"Science (New York, N.Y.)",47.0
691,19675534,Sesack,2010,Cortico-Basal Ganglia reward network: microcircuitry.,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,44.0
366,18500330,Conrad,2008,Formation of accumbens GluR2-lacking AMPA receptors mediates incubation of cocaine craving.,Nature,44.0
6,25251489,Floresco,2015,"The nucleus accumbens: an interface between cognition, emotion, and action.",Annual review of psychology,42.0
40,6999537,Mogenson,1980,From motivation to action: functional interface between the limbic system and the motor system.,Progress in neurobiology,36.0
671,19710631,Koob,2010,Neurocircuitry of addiction.,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,34.0
373,16776597,Hyman,2006,Neural mechanisms of addiction: the role of reward-related learning and memory.,Annual review of neuroscience,32.0
1226,16055761,Kalivas,2005,The neural basis of addiction: a pathology of motivation and choice.,The American journal of psychiatry,31.0
654,21338877,Lüscher,2011,Drug-evoked synaptic plasticity in addiction: from molecular changes to circuit remodeling.,Neuron,30.0
668,23428656,Smith,2014,Cocaine-induced adaptations in D1 and D2 accumbens projection neurons (a dichotomy not necessarily synonymous with direct and indirect pathways).,Current opinion in neurobiology,30.0
172,26214370,Kupchik,2015,Coding the direct/indirect pathways by D1 and D2 receptors is not valid for accumbens projections.,Nature neuroscience,30.0
104,7751934,O'Donnell,1995,Synaptic interactions among excitatory afferents to nucleus accumbens neurons: hippocampal gating of prefrontal cortical input.,The Journal of neuroscience : the official journal of the Society for Neuroscience,29.0
36,10415642,Groenewegen,1999,Convergence and segregation of ventral striatal inputs and outputs.,Annals of the New York Academy of Sciences,29.0
252,20207024,Russo,2010,The addicted synapse: mechanisms of synaptic and structural plasticity in nucleus accumbens.,Trends in neurosciences,29.0
26,17574681,Ikemoto,2008,Dopamine reward circuitry: two projection systems from the ventral midbrain to the nucleus accumbens-olfactory tubercle complex.,Brain research reviews,29.0
582,21811439,Lobo,2011,The striatal balancing act in drug addiction: distinct roles of direct and indirect pathway medium spiny neurons.,Frontiers in neuroanatomy,28.0
649,24848058,Pascoli,2014,Contrasting forms of cocaine-evoked plasticity control components of relapse.,Nature,28.0
108,2057066,Heimer,1991,Specificity in the projection patterns of accumbal core and shell in the rat.,Neuroscience,27.0
1029,8401595,Robinson,1993,The neural basis of drug craving: an incentive-sensitization theory of addiction.,Brain research. Brain research reviews,27.0
709,24077564,Lee,2013,Maturation of silent synapses in amygdala-accumbens projection contributes to incubation of cocaine craving.,Nature neuroscience,27.0
717,21716290,Stuber,2011,Excitatory transmission from the amygdala to nucleus accumbens facilitates reward seeking.,Nature,25.0
17,21543612,Ambroggi,2011,Roles of nucleus accumbens core and shell in incentive-cue responding and behavioral inhibition.,The Journal of neuroscience : the official journal of the Society for Neuroscience,25.0
655,19571793,Kalivas,2009,The glutamate homeostasis hypothesis of addiction.,Nature reviews. Neuroscience,25.0
354,21392532,Yorgason,2012,Demon voltammetry and analysis software: analysis of cocaine-induced alterations in dopamine signaling using multiple kinetic measures.,Journal of neuroscience methods,23.0
1720,1448200,Zahm,1992,"On the significance of subterritories in the ""accumbens"" part of the rat ventral striatum.",Neuroscience,23.0
521,15152198,Wise,2004,"Dopamine, learning and motivation.",Nature reviews. Neuroscience,23.0
735,25173629,Francis,2015,Nucleus accumbens medium spiny neuron subtypes mediate depression-related outcomes to social defeat stress.,Biological psychiatry,23.0
1185,25720819,Salgado,None,The Nucleus Accumbens: A Comprehensive Review.,Stereotactic and functional neurosurgery,23.0
932,15721244,Roitman,2005,"Nucleus accumbens neurons are innately tuned for rewarding and aversive taste stimuli, encode their predictors, and are linked to motor output.",Neuron,23.0
1508,8308171,Brog,1994,"The patterns of afferent innervation of the core and shell in the ""accumbens"" part of the rat ventral striatum: immunohistochemical detection of retrogradely transported fluoro-gold.",The Journal of comparative neurology,23.0
1359,16251991,Everitt,2006,Neural systems of reinforcement for drug addiction: from actions to habits to compulsion.,Nature neuroscience,22.0
1310,25199705,Ma,2015,Bidirectional modulation of incubation of cocaine craving by silent synapse-based remodeling of prefrontal cortex to accumbens projections.,Neuron,22.0
353,21469956,Gerfen,2011,Modulation of striatal projection systems by dopamine.,Annual review of neuroscience,22.0
1147,2899326,Di Chiara,1988,Drugs abused by humans preferentially increase synaptic dopamine concentrations in the mesolimbic system of freely moving rats.,Proceedings of the National Academy of Sciences of the United States of America,22.0
1245,20620875,Hikida,2010,Distinct roles of synaptic transmission in direct and indirect striatal pathways to reward and aversive behavior.,Neuron,22.0
711,23542690,Bock,2013,Strengthening the accumbal indirect pathway promotes resilience to compulsive cocaine use.,Nature neuroscience,21.0
86,18675281,Carlezon,2009,Biological substrates of reward and aversion: a nucleus accumbens activity hypothesis.,Neuropharmacology,21.0
722,20056891,Maze,2010,Essential role of the histone methyltransferase G9a in cocaine-induced plasticity.,"Science (New York, N.Y.)",21.0
716,22544310,Kravitz,2012,Distinct roles for direct and indirect pathway striatal neurons in reinforcement.,Nature neuroscience,21.0
347,22794260,Threlfell,2012,Striatal dopamine release is triggered by synchronized activity in cholinergic interneurons.,Neuron,21.0
1781,21764143,Pickens,2011,Neurobiology of the incubation of drug craving.,Trends in neurosciences,21.0
726,11694884,Thomas,2002,Long-term depression in the nucleus accumbens: a neural correlate of behavioral sensitization to cocaine.,Nature neuroscience,21.0
82,20357125,Krause,2010,A pause in nucleus accumbens neuron firing is required to initiate and maintain feeding.,The Journal of neuroscience : the official journal of the Society for Neuroscience,20.0
853,17652583,Kourrich,2007,Cocaine experience controls bidirectional synaptic plasticity in the nucleus accumbens.,The Journal of neuroscience : the official journal of the Society for Neuroscience,20.0
346,22840394,Cachope,2013,Selective activation of cholinergic interneurons enhances accumbal phasic dopamine release: setting the tone for reward processing.,Cell reports,20.0
